_date,total_views,unique_views
2023-11-21,3,1
2023-11-23,8,3
2023-11-24,2,2
2023-11-27,14,1
2023-11-29,6,2
2023-11-30,75,1
2023-12-01,80,2
2023-12-04,40,5
2023-12-05,68,4
2023-12-06,22,3
2023-12-07,5,1
2023-12-08,39,3
2023-12-09,1,1
2023-12-11,24,2
2023-12-12,14,1
2023-12-14,7,2
2023-12-18,7,1
2023-12-21,12,1
2023-12-22,15,1
2023-12-25,7,1
2024-01-09,19,2
2024-01-11,7,1
2024-01-15,10,3
2024-01-19,7,1
2024-01-22,8,3
2024-01-31,1,1
2024-02-01,2,1
2024-02-02,3,1
2024-02-04,2,1
2024-02-05,18,3
2024-02-06,16,1
2024-02-07,3,2
